,asin,name,category,description,price,rating,No_of_Rating
10,B000PKYCJA,Dermalogica Super Rich Repair,Skin Care,"Special Ingredients


Shea Butter




Item Form


Cream




Brand


Dermalogica




Specific Uses For Product


Apply to face and neck with light, upward strokes. Wait for cream to absorb before applying additional products.Apply to face and neck with light, upward strokes. Wait for cream to absorb before applying addi…

See more





Skin Type


Dry,Sensitive",$89.00,4.7 out of 5 stars,935 ratings
11,B000PKZFTQ,Dermalogica Barrier Repair (1 Fl Oz) Face Moisturizer For Sensitive Skin with Evening Primrose Oil - Restores Barrier Function & Combats Free Radicals,Skin Care,"Item Form


Serum




Brand


Dermalogica




Specific Uses For Product


Apply a small amount evenly over face and throat with light, upward strokes. Use twice daily, morning and night.Apply a small amount evenly over face and throat with light, upward strokes. Use twice dai…

See more





Skin Type


Oily, Combination, Dry, Normal




Age Range (Description)


Adult",$47.00,4.7 out of 5 stars,633 ratings
12,B000PKZG22,Dermalogica Multivitamin Power Firm (0.5 Fl Oz) Anti-Aging Firming Under Eye Cream - Combat Visible Lines Around the Eye Area,Skin Care,"Item Form


Liquid




Brand


Dermalogica




Use for


Eyes




Specific Uses For Product


Smooth around eyes, concentrating on areas of visible aging. Use daily, perfect for pre-make-up prep.Smooth around eyes, concentrating on areas of visible aging. Use daily, perfect for pre…

See more





Skin Type


Oily, Combination, Dry, Normal",$65.00,4.7 out of 5 stars,845 ratings
13,B000POYVHY,"Almay Eyeliner Pencil, Black Brown [206], 0.01 oz",Makeup,"Brand


Almay




Item Form


Pencil




Item Weight


0.03 Pounds




Item Dimensions LxWxH


5.9 x 1.8 x 1.3 inches




Material Feature


Hypoallergenic",$10.00,4.6 out of 5 stars,390 ratings
14,B000PP43XU,CoverGirl TRUblend Mineral Blush - Pure Romance (425),Makeup,"Color


Pure Romance (425)




Brand


COVERGIRL




Finish Type


Sheer




Item Weight


2.16 Ounces




Item Dimensions LxWxH


2.85 x 1.55 x 2.85 inches",$33.99,4.7 out of 5 stars,57 ratings
15,B000PSPK7U,"The Naked Bee Intensive Care Moisturizer, Orange and Honey Blossom Hand and Body Lotion for Women, 2.25 Ounce",Skin Care,"Special Ingredients


Sunflower Oil




Item Form


Lotion




Brand


The Naked Bee




Skin Type


All




Age Range (Description)


Adult",$8.82,4.7 out of 5 stars,299 ratings
16,B000PU70WG,"NARS Lip Lacquer, Cabiria, 0.14 Ounce",Makeup,"Brand


NARS




Ingredients


Lanolin Oil, Hydroxylated Lanolin, Polybutene, Cera Microcristallina (Microcrystalline Wax) (Microcrystalline Wax), Ceresin, Ethylhexyl Palmitate, Isopropyl Myristate, Isopropyl Lanolate, Simmondsia Chinensis Seed Oil (Jojoba), Persea Gratissima Oil (Avocado), Sesamum Indicum Oil (Sesame), Aloe (Aloe Barbadensis) Leaf Extract, Allantoin, Tocopheryl Acetate, Retinyl Palmitate, Tocopherol, Ascorbyl Palmitate (Vitamin C), Propylparaben, May Contain (+/-): Mica, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, 77492, 77499), Manganese Violet (CI 77742), Carmine (CI 75470) (CI 75470), Red 6, Red 7 Lake (CI 15850), Red 21 (CI 45380), Red 27, Red 28 Lake (CI 45410), Red 30 Lake (CI 12085), Red 33 Lake (CI 17200), Orange 5 (CI 45370), Yellow 5 Lake (CI 19140), Yellow 6 Lake (CI 15985), Blue 1 Lake (CI 42090) (CI 42090)Lanolin Oil, Hydroxylated Lanolin, Polybutene, Cera Microcristallina (Microcrystalline Wax) (Microcrystalline Wax), Ceresin, Ethylhexyl Palmitate, Isopropyl Myrist…

See more





Finish Type


Sheer




Item Weight


0.1 Pounds




Item Dimensions LxWxH


0.8 x 0.8 x 3.9 inches",$28.85,4.0 out of 5 stars,34 ratings
17,B000PZDRNM,"hairdo from Jessica Simpson and Ken Paves 23"" Vibralite Synthetic Clip-In Extension, Wavy, Dark Copper",Hair Care,"Color


Dark Copper




Material


Synthetic




Installation Type


Clip-In




Hair Type


Wavy




Brand


HairDo",$69.00,3.8 out of 5 stars,193 ratings
18,B000Q5UOZU,GIOVANNI COSMETICS Conditioner Smooth As Silk 2 OZ,Hair Care,"Brand


GIOVANNI




Hair Type


Dry




Liquid Volume


2 Fluid Ounces




Ingredients


Aqua (purified water) with *rosemary (Rosmarinus officinalis) oil, *nettle (Uritica dioica) oil, *thyme (Thymus vulagris) oil, birch leaf (Butela alba) oil, *chamomile (Anthemis nobilus flower) oil, *clary (Salvia sclarea), *lavender (Lavandula angustifolia), *coltsfoot leaf (Tussilago farfara), *yarrow (Achillea millefolium) oil, *mallow (Malva sylvestris), *horsetail (Equistetum arvense) oil, *soybean protein (Glycine soja), cetyl alcohol (plant derived), stearalkonium chloride, ...Aqua (purified water) with *rosemary (Rosmarinus officinalis) oil, *nettle (Uritica dioica) oil, *thyme (Thymus vulagris) oil, birch leaf (Butela alba) oil, *ch…

See more





Item Dimensions LxWxH


5.01 x 1.59 x 1.05 inches",$6.07,3.7 out of 5 stars,39 ratings
19,B000Q6D3MA,"Yardley Oatmeal and Almond Bar Soap, Oatmeal & Almond, 4.25 Ounce",Skin Care,"Item Form


Bar




Brand


Yardley




Scent


Oatmeal & Almond




Skin Type


Dry




Age Range (Description)


Adult",$1.39,4.6 out of 5 stars,"2,907 ratings"
20,B000Q7UKC0,Maybelline SuperStay Lip Color - Lilac,Makeup,"Brand


Maybelline New York




Item Form


Liquid




Finish Type


Shimmery




Item Weight


0.01 Pounds




Skin Tone


All",$21.47,3.8 out of 5 stars,7 ratings
21,B000Q7XDR4,Australian Gold Forever After All Day Moisturizer - 22.0 oz,Skin Care,"Brand


Australian Gold




Skin Type


All




Age Range (Description)


Adult




Scent


Vanilla




Skin Tone


All",$20.50,4.7 out of 5 stars,"3,167 ratings"
22,B000Q8R6W6,"Desert Essence Hand and Body Lotion Almond, 8 ounce",Skin Care,"Item Form


Lotion




Brand


Desert Essence




Skin Type


Oily




Age Range (Description)


Adult




Scent


Almond",$9.23,4.4 out of 5 stars,742 ratings
23,B000Q97ZS0,"Home Health Moisturizing Cream, Hyaluronic Acid, with Restorative Hydration Complex, 4-Ounces",Skin Care,"Special Ingredients


Glycerin, Hyaluronic Acid, Vitamin C




Item Form


Cream




Brand


Home Health




Skin Type


All




Age Range (Description)


Adult",$17.17,4.2 out of 5 stars,757 ratings
24,B000QC11RI,"CoverGirl Invisible Concealer, 185 Tawny, 0.32 Ounce",Makeup,"Color


Tawny (185)




Brand


COVERGIRL




Item Weight


8 Grams




Item Dimensions LxWxH


1.9 x 0.7 x 5.6 inches",$5.99,3.7 out of 5 stars,10 ratings
25,B000QE5GU4,"bareMinerals MATTE SPF 15 Foundation with Click, Lock, Go Sifter - Medium Beige",Makeup,"Color


Medium Beige




Brand


BareMinerals




Ingredients


Active Ingredients:: Titanium Dioxide, Zinc Oxide. Inactive Ingredients: Lauroyl Lysine, Silica, Calcium Silicate, Soil Minerals. May Contain: Mica, Titanium Dioxide, Iron OxidesActive Ingredients:: Titanium Dioxide, Zinc Oxide. Inactive Ingredients: Lauroyl Lysine, Silica, Calcium Silicate, Soil Minerals. May Contain: Mica, Titanium D…

See more





Coverage


Buildable




Skin Tone


Medium",$27.00,4.7 out of 5 stars,954 ratings
26,B000QE7DV4,bareMinerals Escentuals Mineral Veil SPF 25 6 Grams (47626),Makeup,"Color


Mineral Veil




Brand


BareMinerals




Ingredients


Titanium Dixoide, Zea Mays (Corn Starch), Corn Starch Modified, Zinc Stearate, Silica, Magnesium Stearate. May Contain: Titanium Dioxide, Iron OxidesTitanium Dixoide, Zea Mays (Corn Starch), Corn Starch Modified, Zinc Stearate, Silica, Magnesium Stearate. May Contain: Titanium Dioxide, Iron Oxides

See more





Coverage


Sheer




Skin Tone


All",$25.00,4.7 out of 5 stars,600 ratings
27,B000QFCQCO,"Avalon Organics Night Crème, Wrinkle Therapy, 1.75 Oz",Skin Care,"Brand


Avalon Organics




Scent


Unscented




Hair Type


All




Liquid Volume


50 Milliliters




Item Weight


0.03 Grams",$18.25,4.6 out of 5 stars,268 ratings
28,B000QGKQXO,Toppik Hair Fibers Spray Applicator,Hair Care,"Brand


TOPPIK




Hair Type


Accessories




Item Dimensions LxWxH


2.25 x 2.25 x 4 inches




Product Benefits


Using the Spray Applicator makes it easier to disperse the fibers uniformly, so they look even more natural.Using the Spray Applicator makes it easier to disperse the fibers uniformly, so they look e…

See more





Item Weight


0.05 Kilograms",$19.95,4.1 out of 5 stars,"3,338 ratings"
29,B000QUGFJO,"COVERGIRL Lashexact Mascara Waterproof Very Black 925, .13 oz (packaging may vary)",Makeup,"Color


VERY BLACK




Product Benefits


Hypoallergenic




Ingredients


Petroleum Distillates, Polyethylene, Disteardimonium Hectorite, Copernicia Cerifera (Carnauba) Wax/ Cire De Carnauba, Trihydroxystearin, Propylene Carbonate, Pentaerythrityl Hydrogenated Rosinate, Tall Oil Glycerides, Propylparaben, Panthenol, Tocopherol, Phenoxyethanol, Tocopheryl Acetate, May Contain/Peut Contenir: Iron Oxides, Ultramarines, Titanium DioxidePetroleum Distillates, Polyethylene, Disteardimonium Hectorite, Copernicia Cerifera (Carnauba) Wax/ Cire De Carnauba, Trihydroxystearin, Propylene Carbonate, P…

See more





Item Volume


3.84 Milliliters




Country/Region Of Origin


United States",$7.31,4.4 out of 5 stars,"1,399 ratings"
30,B000QUKAUE,"Mary Kay Acne Treatment Gel,1 oz. net wt.",Skin Care,"Item Form


Gel




Brand


Mary Kay




Skin Type


Acne Prone




Net Content Weight


1 Ounces




Unit Count


1 Ounce",$15.55,4.5 out of 5 stars,103 ratings
31,B000QUNEES,"Mary Kay Velocity Lightweight Moisturizer,4 fl. oz.",Skin Care,"Item Form


Lotion




Brand


Mary Kay




Use for


Face




Skin Type


Acne Prone




Age Range (Description)


Adult",$53.82,4.8 out of 5 stars,55 ratings
32,B000QUOD8Y,"Alba Botanica Hawaiian Sunscreen Lotion, SPF 30, Aloe Vera, 4 Oz (Packaging May Vary)",Skin Care,"Ingredients


Active Ingredient, Purpose Avobenzone 3.0%, Sunscreen Homosalate 7.5%, Sunscreen Octocrylene 7.5%, Sunscreen Octyl Salicylate 5.0%, Sunscreen Inactive Ingredients Water (Aqua), Cetyl Alcohol, Glycerin, Caprylic/Capric Triglyceride, Glyceryl Stearate SE, Dimethicone, VP/Hexadecene Copolymer, Citrus Aurantium Dulcis (Orange) Peel Oil, Aloe Barbadensis Leaf Juice(1), Ananas Sativus (Pineapple) Fruit Extract(1), Camellia Sinensis Leaf Extract(1), Carica Papaya (Papaya) Fruit Extract(1), Hibiscus Sabdariffa Flower Extract(1), Mangifera Indica (Mango) Fruit Extract(1), Passiflora Incarnata Flower Extract(1), Psidium Guajava Fruit Extract, Tocopheryl Acetate, Alcohol, Cetearyl Alcohol, Cetearyl Olivate, Citric Acid, Linalyl Acetate, Polysorbate 60, Sodium Chloride, Sodium Stearoyl Glutamate, Sorbitan Olivate, Triethyl Citrate, Xanthan Gum, Benzyl Alcohol, Potassium Sorbate, Sodium Benzoate, Amyl Cinnamal, Citral, Citronellol, Geraniol, Hydroxycitronellal, Limonene, Linalool. (1)Certified organic ingredient.Active Ingredient, Purpose Avobenzone 3.0%, Sunscreen Homosalate 7.5%, Sunscreen Octocrylene 7.5%, Sunscreen Octyl Salicylate 5.0%, Sunscreen In…

See more





Scent


Aloe Vera




Sun Protection


30 SPF




Item Weight


113 Grams




Skin Type


Sensitive",$8.44,4.5 out of 5 stars,"5,224 ratings"
33,B000QURQQU,"Weleda Nourishing Face Cream, 1.7 Ounce",Skin Care,"Special Ingredients


Almond Oil




Item Form


Cream




Brand


Weleda




Use for


Face




Specific Uses For Product


Dryness",$9.20,4.6 out of 5 stars,744 ratings
34,B000QXGBOU,Clinique Dramatically Different Moisturising Gel with Pump 4.2oz / 125ml,Skin Care,"Item Form


Gel




Brand


Clinique




Age Range (Description)


Adult




Skin Tone


All




Item Weight


4.2 Ounces",$27.00,4.7 out of 5 stars,"1,420 ratings"
35,B000R1RKVY,"L’Oreal Paris Makeup Voluminous Original Volume Building Curved Brush Mascara, Black, 0.28 fl. oz.",Makeup,"Color


Black




Product Benefits


Lifting




Ingredients


AQUA/WATER/EAU • PARAFFIN • CYCLOPENTASILOXANE • CERA ALBA/ BEESWAX/CIRE D'ABEILLE • STEARIC ACID • TRIETHANOLAMINE • ACACIA/ACACIA SENEGAL GUM • CARNAUBA/CARNAUBA WAX/CIRE DE CARNAUBA • PALMITIC ACID • DIMETHICONOL • HYDROXYETHYLCELLULOSE • PANTHENOL • IMIDAZOLIDINYL UREA • SODIUM POLYMETHACRYLATE • METHYLPARABEN • PEG/PPG- 17/18 DIMETHICONE • 2-OLEAMIDO- 1,3-OCTADECANEDIOL • PROPYLPARABEN • SIMETHICONE • BHT • POLYQUATERNIUM-10 MAY CONTAIN/PEUT CONTENIR [+/- CI 77492, CI 77499, CI 77491/IRON OXIDES • CI 77007/ULTRAMARINES • CI 77891/TITANIUM DIOXIDE • CI 77266/BLACK 2 • MICA • CI 75470/CARMINE • CI 77510/FERRIC FERROCYANIDE • CI 77288/CHROMIUM OXIDE GREENS • CI 77289/ CHROMIUM HYDROXIDE GREEN] FIL D26675/1AQUA/WATER/EAU • PARAFFIN • CYCLOPENTASILOXANE • CERA ALBA/ BEESWAX/CIRE D'ABEILLE • STEARIC ACID • TRIETHANOLAMINE • AC…

See more





Item Volume


0.28 Fluid Ounces




Country/Region Of Origin


France",$6.74,4.6 out of 5 stars,"1,902 ratings"
36,B000R1VH8Q,"L’Oreal Paris Makeup Voluminous Original Volume Building Mascara, Black Brown, 0.28 fl; oz.",Makeup,"Color


Washable Black Brown




Product Benefits


Volumizing, Softening, Thickening




Ingredients


AQUA / WATER / EAU • PARAFFIN • CYCLOPENTASILOXANE • CERA ALBA / BEESWAX / CIRE D'ABEILLE • STEARIC ACID • TRIETHANOLAMINE • ACACIA / ACACIA SENEGAL GUM • CARNAUBA / CARNAUBA WAX / CIRE DE CARNAUBA • PALMITIC ACID • DIMETHICONOL • HYDROXYETHYLCELLULOSE • PANTHENOL • IMIDAZOLIDINYL UREA • SODIUM POLYMETHACRYLATE • METHYLPARABEN • PEG/PPG-17/18 DIMETHICONE • 2-OLEAMIDO-1,3-OCTADECANEDIOL • PROPYLPARABEN • SIMETHICONE • BHT • POLYQUATERNIUM-10 [+/- MAY CONTAIN: CI 77492, CI 77499, CI 77491 / IRON OXIDES • CI 77007 / ULTRAMARINES • CI 77891 / TITANIUM DIOXIDE • CI 77266 / BLACK 2 • MICA • CI 75470 / CARMINE • CI 77510 / FERRIC FERROCYANIDE • CI 77288 / CHROMIUM OXIDE GREENS • CI 77289 / CHROMIUM HYDROXIDE GREEN]AQUA / WATER / EAU • PARAFFIN • CYCLOPENTASILOXANE • CERA ALBA / BEESWAX / CIRE D'ABEILLE • STEARIC ACID • TRIETHANOLAMIN…

See more





Item Volume


0.28 Fluid Ounces




Country/Region Of Origin


United States",$5.99,4.5 out of 5 stars,"54,470 ratings"
37,B000R3215W,"Aveeno Clear Complexion Cream Facial Cleanser with Salicylic Acid Acne Medicine, Face Wash with Soy Extract for Breakout Prone Skin, Hypoallergenic & Oil-Free, 5 fl. oz (Pack of 3)",Skin Care,"Item Form


Cream




Brand


Aveeno




Skin Type


Acne Prone,Sensitive




Ingredients


Active Ingredient: Salicylic Acid 2%. Inactive Ingredients: Cetyl Alcohol, Fragrance, Glycine Soja (Soybean) Seed Extract, Menthyl Lactate, Microcrystalline Wax, Polyethylene, Polysorbate 60, Potassium Cetyl Phosphate, Ppg-15 Stearyl Ether, Steareth-21, Water, Xanthan Gum, Chromium Hydroxide Green.Active Ingredient: Salicylic Acid 2%. Inactive Ingredients: Cetyl Alcohol, Fragrance, Glycine Soja (Soybean) Seed Extract, Menthyl Lactate, Microcryst…

See more





Package Type


Tube",$28.92,4.7 out of 5 stars,250 ratings
38,B000R80ZTQ,"Conair 1875 Watt Cord Keeper Hair Dryer, Purple",Hair Care,"Hair Type


All, Wavy, Curly




Color


Purple




Brand


Conair




Material


Ceramic




Item Dimensions LxWxH


4.13 x 10.13 x 10.13 inches",$39.99,4.6 out of 5 stars,"3,202 ratings"
39,B000R830IE,"Conair BC2NWTP InfinityPro 1"" Nano Tourmaline Ceramic Hot Brush, 30-Second Heat-up, 395°F Heat Setting, Uniform Heat Recovery System, Extra-smooth Ceramic Surface, 5 Temperature Settings, Auto-off",Hair Care,"Hair Type


Frizzy




Size


1-inch




Brand


Conair




Material


Ceramic




Item Dimensions LxWxH


13.7 x 5.7 x 2.6 inches",$27.14,4.2 out of 5 stars,"1,093 ratings"
40,B000R87B1Q,"Conair Hot Roller Super Clips, White",Hair Care,"Hair Type


All




Size


10 Clips




Color


White




Brand


Conair




Item Dimensions LxWxH


3 x 8 x 5 inches",$10.99,4.5 out of 5 stars,"2,745 ratings"
41,B000R8U1XQ,"philosophy amazing grace eau de toilette, 2 oz",Fragrance,"Brand


Philosophy




Scent


Floral




Ingredients


Alcohol denat., parfum/fragrance, aqua/water/eau, benzyl salicylate, benzophenone-3, alpha-isomethyl ionone, amyl cinnamal, benzyl alcohol, butylphenyl methylpropional, citronellol, geraniol, hexyl cinnamal, hydroxycitronellal, hydroxyisohexyl 3-cyclohexene carboxaldehyde, limonene, linalool, bht.Alcohol denat., parfum/fragrance, aqua/water/eau, benzyl salicyl…

See more





Item Form


Spray




Item Weight


0.51 Pounds",$52.00,4.7 out of 5 stars,586 ratings
42,B000R8ZAMI,"Glo Skin Beauty Satin Cream Foundation in Golden - Liquid Mineral Makeup - 15 Shades, Full Coverage, Semi Matte Finish",Makeup,"Color


Golden




Brand


Glo Skin Beauty




Ingredients


Aqua (Water/Eau), Phenyl Trimethicone, Isododecane, Titanium Dioxide, Cyclopentasiloxane, PEG/PPG-18/18 Dimethicone, Nylon-12, Glycerin, Cyclomethicone, Hydrogenated Polyisobutene, Dimethicone Crosspolymer-3, Thermus Thermophilus Ferment, Disteardimonium Hectorite, Propylene Carbonate, Lauryl PEG/PPG-18/18 Methicone, Sodium Chloride, Polyglyceryl-4 Isostearate, Cetyl PEG/PPG-10/1 Dimethicone, Hexyl Laurate, Methicone, Carthamus Tinctorius (Safflower) Seed Oil, Tocopheryl Acetate (Vitamin E), Retinyl Palmitate (Vitamin A), Ascorbyl Palmitate (Vitamin C), Aloe Barbadensis (Aloe Vera) Leaf Extract, Malachite Extract, Chamomilla Recutita (Matricaria) Flower Extract, Lavandula Angustifolia (Lavender) Extract, Camellia Oleifera (Green Tea) Leaf Extract, Phenoxyethanol, Ethylhexylglycerin, (+/-): Iron Oxides (CI 77491, CI 77492, CI 77499)Aqua (Water/Eau), Phenyl Trimethicone, Isododecane, Titanium Dioxide, Cyclopentasiloxane, PEG/PPG-18/18 Dimethicone, Nylon-12, Glycerin, Cyclomethicone, H…

See more





Coverage


Buildable Coverage,Sheer,Full




Special Feature


 talc-free, non-comedogenic and fortified with our exclusive antioxidant blend",$50.00,4.5 out of 5 stars,351 ratings
43,B000R94OGK,"Cellex-C Hydra 5 B-Complex, 1 Fl Oz",Skin Care,"Special Ingredients


Hyaluronic Acid, Vitamin C




Item Form


Gel




Brand


Cellex-C




Specific Uses For Product


Squeeze 2–3 drops into the palm of your hand. Blend the gel over your face and neck.




Age Range (Description)


Adult",$75.00,4.8 out of 5 stars,130 ratings
