,asin,name,category,description,price,rating,No_of_Rating
30,B0000531SW,"L'oreal Visible Lift Line-minimizing and Tone-enhancing Makeup, Normal/Dry Skin, Soft Ivory, 1.25-Fluid Ounce",Makeup,"Color Soft Ivory Brand L'Oreal Paris Ingredients Active Ingredient: Octyl Methoxycinnamate (2.0%). Other Ingredients: Water, Cyclopentasiloxane, Ethylhexyl Palmitate, Nylon-12, Glycerin, Propylene Glycol, Glyceryl Stearate, Mineral Oil, Stearic Acid, Glyceryl Isostearate, Dimethicone, Stearyl Alcohol, Triethanolamine, Magnesium Aluminum Silicate, Panthenol, Retinyl Palmitate, Pisum Sativum (Pea) Extract, Tocopherol, Methylsilanol Mannuronate, Butyrospermum Parkii (Shea Butter) Fruit, Sodium Lauroyl Sarcosinate, Lanolin, Alcohol, Diazolidinyl Urea, Helianthus Annuus (Sunflower) Seed Oil, Methylparaben, Butylparaben, Cellulose Gum. May Contain: Titanium Dioxide, Iron Oxides. B5288/2.Active Ingredient: Octyl Methoxycinnamate (2.0%). Other Ingredients: Water, Cyclopentasiloxane, Ethylhexyl Palmitate, Nylon-12, Glycerin, Propylene… See more Coverage Full Item Weight 0.25 Pounds",19.85,4.3,311
31,B0000532YN,"Kiss My Face Bar Soap, 8.0 oz, Pure Olive Oil. 1-Bar",Skin Care,"Item Form Bar Brand Kiss My Face Ingredients Sodium Olivate (Saponified Olive Oil), Water, Sodium Chloride (Sea Salt) Item Weight 0.3 Kilograms Item Dimensions LxWxH 1.63 x 3.88 x 2.5 inches",6.0,4.4,911
32,B00005333G,"L'Oreal Paris Skincare Hydra-Renewal Face Moisturizer with Pro-Vitamin B5 for Dry/Sensitive Skin, All-Day Hydration, 1.7 Oz",Skin Care,Item Form Cream Brand L'Oréal Paris Use for Face Skin Type Dry Age Range (Description) Adult,6.42,4.4,1903
33,B00005333I,"Eye Cream to Reduce Puffiness, Lines and Dark Circles, L'Oreal Paris Skincare Dermo-Expertise Eye Defense Eye Cream with Caffeine and Hyaluronic Acid For All Skin Types, 0.5 oz.",Skin Care,"Special Ingredients Hyaluronic Acid Item Form Gel Brand L'Oréal Paris Use for Eyes Specific Uses For Product Reduces puffiness, lines and dark circles. Light-weight, non-greasy. Dermatologist and Ophthalmologist Tested.Reduces puffiness, lines and dark circles. Light-weight, non-greasy. Dermatologist and Ophthalmologist Tested. See more",11.79,4.2,11552
34,B0000535RA,"Neutrogena Pore Refining Toner with Witch Hazel, Alpha Hydroxy Acid & Beta Hydroxy Acid, Oil-Free & Hypoallergenic Facial Pore Cleansing Toner, 8.5 fl. oz",Skin Care,"Ingredients Water, Alcohol Denat. (35%), Glycolic Acid, Witch Hazel (Hamamelis Viginiana) Extract, Sodium PCA, Salicylic Acid, Aloe Barbadensis Leaf Extract, Eucalyptus Globulus Leaf Extract, Peppermint (Mentha Piperita) Leaf Extract, Allantoin, Sodium Lactate, PEG 40 Hydrogenated Castor Oil, Fragrance.Water, Alcohol Denat. (35%), Glycolic Acid, Witch Hazel (Hamamelis Viginiana) Extract, Sodium PCA, Salicylic Acid, Aloe Barbadensis Leaf Extract, Eucalyp… See more Brand Neutrogena Scent Rose Petal Skin Type Won't over dry skin Item Weight 283 Grams",7.27,4.6,6046
35,B0000535UM,"JASON Thin-to-Thick Extra Volume Shampoo, 8 fl oz. (Packaging May Vary)",Hair Care,"Brand JĀSÖN Scent Citrus, Peppermint Hair Type Fine Liquid Volume 8 Fluid Ounces Ingredients Water (Aqua), Cocamidopropyl Hydroxysultaine, Glycerin, Sodium Cocoyl Isethionate, Cetyl Alcohol, Glyceryl Stearate SE, Butyrospermum Parkii (Shea) Butter Unsaponifiables, Eucalyptus Globulus Leaf Oil, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Mentha Arvensis Leaf Oil, Mentha Piperita (Peppermint) Oil, Mentha Viridis (Spearmint) Leaf Oil, Nigella Sativa (Black Cumin) Seed Oil (Certified Organic Ingredient), Rosmarinus Officinalis (Rosemary) Leaf Oil, Soybean Glycerides, Aloe Barbadensis Leaf Juice (Certified Organic Ingredient), Chenopodium Quinoa Seed (Certified Organic Ingredient), Equisetum Arvense Leaf Extract (Certified Organic Ingredient), Tilia Tomentosa Bulb Extract, Ascorbyl, Palmitate, Biotin, Panthenol, Tocopheryl Acetate, Caffeine, Caprylic/Capric Triglyceride, Citric Acid, Guar Hydroxypropyltrimonium Chloride, Phytantriol, Potassium Hydroxide, Sodium Chloride, Sucrose Laurate, Sucrose Myristate, Triethyl Citrate, Xanthan Gum, Alcohol, Ethylhexylglycerin, Phenoxyethanol, Potassium Sorbate, Sodium Benzoate.Water (Aqua), Cocamidopropyl Hydroxysultaine, Glycerin, Sodium Cocoyl Isethionate, Cetyl Alcohol, Glyceryl Stearate SE, Butyrospermum Parkii (Shea) B… See more",7.59,4.1,983
36,B0000535UN,"Jason Conditioner, Thin to Thick Extra Volume, 8 Oz",Hair Care,"Brand JĀSÖN Hair Type Fine Liquid Volume 8 Fluid Ounces Ingredients Water (Aqua), Glycerin, Cetearyl Alcohol, Helianthus Annuus (Sunflower) Seed Oil (Certified Organic Ingredient), Stearyl Alcohol, Cetyl Alcohol, Butyrospermum Parkii (Shea) Butter Unsaponifiables, Eucalyptus Globulus Leaf Oil, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Mentha Arvensis Leal Oil, Mentha Piperita (Peppermint) Oil, Mentha Viridis (Spearmint) Leaf Oil, Nigella Sativa (Black Cumin) Seed Oil (Certified Organic Ingredient), Rosmarinus Officinalis (Rosemary), Leaf Oil, Shea Butter Ethyl Esters, Soybean Glycerides, Aloe Barbadensis Leaf Juice (Certified Organic Ingredient), Chenopodium Quinoa Seed (Certified Organic Ingredient), Equisetum Arvense Leaf Extract (Certified Organic Ingredient), Tilia Tormentosa Bulb Extract, Ascorbyl Palmitate, Biotin Panthenol, Tocopheryl Acetate, Allantoin, Behentrimonium Chloride, Brassica Alcohol, Brassicyl Isoleucinate Esylate, Caffeine, Caprylic/Capric Triglyceride, Citric Acid, Guar Hydroxypropyltrimonium Chloride, Isopropyl Alcohol, Phytantriol, Polysorbate 60, Potassium Hydroxide, Sodium PCA Triethyl Citrate, Alcohol (Certified Organic Ingredient), Benzyl Alcohol, Potassium Sorbate, Sodium Benzoate.Water (Aqua), Glycerin, Cetearyl Alcohol, Helianthus Annuus (Sunflower) Seed Oil (Certified Organic Ingredient), Stearyl Alcohol, Cetyl Alcohol, Butyrosp… See more Item Dimensions LxWxH 7.24 x 1.89 x 1.81 inches",9.25,4.2,490
37,B0000535UT,"Jason Natural Body Wash & Shower Gel, Purifying Tea Tree, 30 Oz",Skin Care,Item Form Gel Brand JĀSÖN Scent Tea Tree Skin Type Sensitive Age Range (Description) Adult,8.98,4.5,18322
38,B0000535UX,"JĀSÖN Hand Soap, Purifying Tea Tree, 16 Fl OZ",Skin Care,"Item Form Liquid Brand JĀSÖN Scent Tea Tree Ingredients Water (Aqua), Sodium Cocoyl Isethionate, Cocamidopropyl Hydroxysultaine, Sodium Laurylglucosides Hydroxypropylsulfonate, Glycerin, Helianthus Annuus (Sunflower) Seed Oil (Certified Organic Ingredient), Melaleuca Alternifolia (Tea Tree) Leaf Oil (Certified Organic Ingredient), Olea Europaea (Olive) Fruit Oil (Certified Organic Ingredient), Aloe Barbadensis Leaf Juice (Certified Organic Ingredient), Calendula Officinalis Flower Extract (Certified Organic Ingredient), Chamomilla Recutita (Matricaria) Flower Extract (Certified Organic Ingredient), Hypericum Perforatum Flower/Leaf/Stem Extract, Lavandula Angustifolia (Lavender) Flower/Leaf/Stem Extract, Salvia Officinalis (Sage) Leaf Extract, Panthenol, Tocopheryl Acetate, Allantoin, Citric Acid, Glyceryl Distearate, Glyceryl Stearate, Guar Hydroxypropyltrimonium Chloride, Lecithin, Sodium Chloride, Steam Acid, Alcohol (Certified Organic Ingredient), Benzyl Alcohol, Potassium Sorbate, Sodium Benzoate, Amyl Cinnamal, Benzyl Salicylate, Citronellol, Isoeugenol, Fragrance (Parfum), (Certified Organic Ingredient).Water (Aqua), Sodium Cocoyl Isethionate, Cocamidopropyl Hydroxysultaine, Sodium Laurylglucosides Hydroxypropylsulfonate, Glycerin,… See more Item Weight 1 Pounds",7.9,4.3,314
39,B000053676,"Avalon Organics Intense Defense Eye Cream, 1 oz.",Skin Care,"Special Ingredients Vitamin C Item Form Cream,Oil,Serum Brand Avalon Organics Use for Eyes Skin Type Mature",12.98,4.4,526
40,B0000536A3,"Tommy Hilfiger Eau De Cologne Spray for Men, 3.3 Ounce",Fragrance,Brand Tommy Hilfiger Item Form Spray Item Weight 0.21 Pounds Item Volume 100 Milliliters,43.99,4.8,2696
