,Unnamed: 0,asin,helpful,Not helpful,review_concat,summary_concat,overall rating,name,category,description,price,rating,No_of_Rating
213,213,B000E7YL3G,0.4,0.7,highquality scent price amazing projection longevity reminds irish spring soap clean piney quite deal great cologne open conversation two lady love think importantly hard find another dude scent stand crowd generic cologne counter one not disappointed best worn evening really like cologneit pleasant fragrance different stay dayhow ever stillpreferr paul sabastian firt choice alfred sung veryvery good amazing buy man life cologne amazing popular 90 everyone ask got must buy yes not favorable review please courtesy not giving not helpful rating happen like fragrance discus merit fragrance not like not like ita bit background place taste context middleage professional man husband father management avid collector fragrance somewhere north 300 fragrance wardrobe ranging cheap synthetic best amouage montale czech speake lartisan parfumeur various pure oudhs attar taste varied general love woody real wood cedar oak oudh attar floral fougere aqua green occasional particular gourmand not like cinnamoncardamom bonedry incense patchouli cheap synthetic wood cheap synthetic ambergris anything end sickeningly cloying absolutely not snob enjoy anything smell nice no matter costsnow get sung men something bonedry completely synthetic woody fragrance much vein halston 112 francesco smalto cheap sharp astringent perfectly home 80 year old man doddering bingo night rec hall south florida retirement community bone dry acerbic stark bitter bitter key adjective not like sweet cloying fragrance dunhill fresh make feel bit sickened teach meaning word cloying like balanced fragrance least something within range polo black double black sweet incredibly attractive enjoyable czech speake no 88 passage denfer lartisan parfumeur bone dry fragrance without hint sweetness absolutely positively pleasant inoffensive impressively sublimesung not good wear little time never replace formula category bitter synthetic wood may floral note drydown not redeem bitter horrible chemical wood say wood cheap wood fragrance supposed smell like not smell like wood astringent bitter smell cheap synthetic formal frag definitely not worth wearing try something elsehappy smelling cheer purple stinker stink never allergy sneezed like crazy smelled open bottle reek bought blind people said reminded irish spring smell like irish man died springit dry strong woodleather smell not freshclean unlike cool water 1988 smell ancient 1989if looking soapy scent1 creed original vetiver2 prada amber3 mugler cologne4 prada infusion dhommeif looking smell like death buy sung,amazing projection longevity fresh clean llm fave men cologne dissenting opinion never allergy sneezed like crazy smelled open bottle irish corpse,5,Sung Homme by Alfred Sung 3.4 oz Eau de Toilette Spray,Fragrance,"Brand


Alfred Sung




Scent


Alfred SUNG, Alfred Sung




Ingredients


Citrus and spice a manly scent.




Item Form


Spray




Item Weight


0.65 Pounds",19.9,4.5,840
214,214,B000C20ZS8,0.8,1.2,often get comment one must 50 different scent rotate daily likely favorite bvlgari fragrance tend clean fresh almost soapy scent blv pour homme no different coming gate ginger note settling cedarwoodjuniper fragrance tobacco end note blend similar offer uniqueness belongs bvlgari like fragrance easy nosebvlgari work hard creating richness feel fragrance notice immediately packaging quality clarity bottle not sure anyone else notice thing admire quality design packaging blv average longevity projection sillage lasting 6 hour skin longer shirtsleeve fragrance offer diversity permit acceptability time year occasionwhile not received compliment ie wow factor enjoy wearing blv creates confidence wearing really matter right bvlgari fan blv added collection repurchase 1 ounce bottle depleted probably not worth buying add collection diversity fragrance worn pick 2025 range definitely jump itall thing considered give blv 40 star 5 fragrance unique enough give shot night swimming body good favorite perfume love good price want smell like bout wildly fantastic lovemaking pure sex magical like sex dream afterwards fresh musky green scent bit heavy handed bass scent note personally love bvlgari black seems smoker better balanced one not get wrong nice high quality wish id sampled leapt scent different u really not product fault,great scent not shabby fresh showered soapypowdery fragrance five star not masterpiece like dior homme ysl lhomme close nice,5,Bvlgari BLV By Bvlgari For Men Eau De Toilette Spray 3.4 Oz,Fragrance,"Brand


BVLGARI




Scent


Gingko Sandalwood Galanga Tobacco Blossom Juniper Cardamom Teak Cedarwood Musk Ginger




Item Form


Spray




Item Weight


0.21 Pounds




Item Volume


100 Milliliters",54.0,4.6,811
215,215,B000C21AC8,0.6,0.6,excited see could find wore year ago absolutely loved cannot find store purchased favorite beauty guru said staple fragrance scent long wearing clean reminds fall time see received many good review like vanilla ambery scent like not like may taste projection longevity ok love perfume smell great last long time not break bank smell like cost lot 15 buck like chanel lancme 34cheap34 perfume come close good brandsfragrances wife love stuff every year get best price anywhere trust great buy literally warn perfume decade broke heart could not find store found line purchased say men love sent warm feminine touch vanilla one favorite say lot use 2 cologne picky scent keep two bottle dresser figured 12 buck could go wrong positive review thought wed winner not fan perfume wanted something light far chance take ordering online good lord felt like choking get pay smell alright first second begin fume like oven cleaner better wearing windexill gift teenage sister not know better try store first reason bought review never heard buying revlon cologne spray never occurred love stuff smell sooo good put morning still smell late night always buy long find husband bought back dating 5 year ago still love found cheaper not including shipping price great using perfume many year love smellsi happy found amazon good price continue buying long time mother law really happy u getting really hard time finding store year,great perfume smell amazing ok affordable perfume smell expensive wife love love fire ice strong wow great price size smell favorite perfume great,2,"Revlon Fire & Ice Perfume for Women, 1.7 Fl. Oz., womens fragrance",Fragrance,"Brand


REVLON




Scent


Woody & Musky




Item Form


Spray




Item Weight


0.41 Pounds




Item Volume


50 Milliliters",15.0,4.7,2370
218,218,B000XE87IA,0.0,0.0,first time purchasing product love purchase love fragrance much love smell fragrance soft smell great price would recommended fragrance anyone love soft smell love always order favorite scent strong soft last long time happy purchase got perfume quick tell truth never smelled beautiful scent nobody know perfume item awsome love,soft fragrance good signature scent always order like wow love,5,"Guess Eau de Parfum Spray for Women, 2.5 Fluid Ounce",Fragrance,"Brand


GUESS




Scent


Fruity, Floral




Ingredients


Perfume for women




Item Form


Spray




Item Weight


2.5 Ounces",22.79,4.6,3509
219,219,B000XE5260,0.2,0.8,hard apply cologne not heavy cloying clean crisp smell almost aquatic subtle sweetness citrus note definitely reminds summer ocean freshness cannot beat scent good season occasion perfect gift buy special guy bottle nice looking versace versace versace versace versace versaceversace medusa head like lumaniti lol eau fraiche another nice fresh scent got keep smelling sweet no one like stinky person lol cannot beat price real deal not fake fast delivery bought husband enjoys citrusy smell great man skin refreshingdefinitely summer scent longlasting smell almost like issey miyake leau dissey pour homme not like cologne guess say cologne not 4 love fragrance however not know half time buy amazon fragrance not quite one sample sephora think one authentic since serial number smell not good not last long one tried fragrance place like sephora think safe buying fragranaces amazon long 25 dollar underanything expensive hit miss time real deal no issue time dud not know not know fake bad batch buy not store correctly heat spoil sell far many bad experience fragrance bought directly shame one weakest cologne ever got life cologne buff love smell great got wanted throw trash suck big time want good cheap cologne try usher first 1 came even gucci amazing cologne must not buy collection 25 fragrance intrigued versace addition popularity summer aromatic aquatic become little bit redundant one house nextand fragrance open beautiful blend citrus note maybe touch lavender absolutely no projection within two hour disappears great bottle even though made plastic spray well tend drier skin fragrance not sillage required wear day office day really cannot recommend not want give false impression not like unique take blue fragrance lacked uniqueness punch looking foras always best advice always try first skin wait hour see looking gift guy friend time close family friend birthday coming though would look something suitable came cologne kind already included hated musky heavy like guy wear cologne particularly work environment need happy medium sort exactly come smell lovely sent addictive way one interested finding gift guy friend affordable attractive highly recommend cologne french definition eau fraiche fresh water cologne fit description well somewhere sport powder scent soft clean definitely summer cologne used occasion season criticism man eau fraiche cologne fade easily found not case suppose depends body chemistry versace score fragrance added collection definitely top 5 amazon delivered great service amazingly low price five star youtube legend reason whether struggle see first wearing give time smooth slightly synthetic blend apple citrus tea note great longevity projection subtle nose wearer not easily recognize potency one complimented fragrance 60 growing great anytime event best warm weather combine lacoste style play issey miyake overspray quite often get maximum projection not get cloying overall well rounded smooth juice,fresh clean crisp drake said best perfect smell great man skin not 4 buying fragrance amazon hit miss suck big time great beginning stunning price lovely smell eau fraiche versace hit top five versace man eau fraiche,4,Versace Man Eau Fraiche By Gianni Versace For Men Edt Spray 3.4 Fl Oz,Fragrance,"Brand


Versace




Scent


Citrus & Woods




Ingredients


ALCOHOL, PARFUM (FRAGRANCE), AQUA (WATER), LIMONENE, ETHYLHEXYL METHOXYCINNAMATE, DIETHYLAMINO, HYDROXYBENZOYL HEXYLBENZOATE, CITRAL, CINNAMAL, LINLOOL, BHTALCOHOL, PARFUM (FRAGRANCE), AQUA (WATER), LIMONENE, ETHYLHEXYL METHOXYCINNAMATE, DIETHYLAMINO, HYDROXYBENZOYL HEXYLBENZOA…

See more





Item Form


Spray




Item Weight


3.4 Ounces",39.99,4.7,12740
263,263,B000JL3U1Q,0.7,0.9,love fragrance posh not strong outstanding people notice wear recommend love floral scent switch around bit favorite fragrance seems like many fragrance day smell like grapefruit one smell like flower always receive compliment not powering either love fragrance bought small rollon fragrance fell love spray morning still smell many hour later smell great packaging good bottle came without leak look great collection perfumethe scent nice light sweet flirty scent believe age wear course smell different different people must love scent one sugary sweet fragrance tolerate perhaps gentle think princess would actually smell like fluffy sugary candy soft nectarine sweet apple delicate florals lingering garden walk morning feel like one cotton candy body spray would buy drugstore young girl matured 20 sweet gourmand girly also sophisticated mature rewriting review initially not like much felt like guava strong dominated fragrance not get much chocolate disappointingbut using time fell love happened perfume well not know chemistry change frequent basis get used perfume maybe combination whatever happened love soft sweet pleasant smelli detect little chocolate vanilla lot guava love blending three definitely happy blind purchase smell amazing took department store make sure authentic scent last throughout day receive ton compliment many note perfume really pretty like fruity floral note overall effect fresh feminine one thing not happy vanilla note not blend well others go back forth smelling fruityfloral smelling vanilla heavy powdery vanilla ruined would otherwise nice perfume mother love fragrance cute bottle got mother day last year amazon great scent would also suggest marc jacob daisy smell even better not care scent smell like vanilla vanilla vanilla yuckers not sexxxyits airfreshner nothing like sampled sephora ordered bottle age ago not even gotten halfway smelled store absolutely loved scent could not wait order received perfume pink not purple scent not remembered not like thought maybe let sit day came across store decided smell tester definitely hoodwinked perfume store instantly reminded scent loved not reorder seller got sample sephora loved smell wanted something mature not strong old grandma love smell amazing come super cute heart shaped bottle cute crown top like smell buy ordered product daughter friend christmas little pricey absolutley love fragerance man must admit many woman perfume smell bad one smelled nice definitely smell vanilla chocolate great way not heavy not light fragrance last roughly 68 hour allergy sensitive scent father scent bloodhound every time spray perfume complains strong sprayed perfume one day not know bought perfume asked nice scent told perfume looked shocked said great choice recommend perfume whomever love feminine scent 18 year old also saw review said perfume better thierry muglers angel excited favorite scent thought would love vera wangs princess well spray 2 second smell baby powder type scent absolutely nothing uuggh thankful paid 2800 including shipping unopened box ebayupdate key hating fragrance fact got fake ebay purchased rollerball vera wang princess smell great feel like princess love scent fresh floral not heavy not mature fragrance something wear every day never tire think thought smelt bit first got really alcoholly realized perfume finished around thing agebreakdown smell change smell matched roller ball perfume also no complaint would recommend buying year cannot break habit sweet clean scent make everyone ask name thank vera wang haha p boyfriend approved cute packaging smell cheap,luxurious favorite smell great yummy soft girly sweet great love not like vanilla great scent cute bottle vanilla field ring bell not real thing love perfume far favorite perfume nice yummy disappointed princess perfume expected want everyone compliment buy three star,3,"Vera Wang Princess Eau de Toilette Spray for Women, 1.7 Fl Oz",Fragrance,"Brand


Vera Wang




Ingredients


Alcohol Denat., Parfum/Fragrance, Aqua/Water/Eau, Acrylates Octylacrylamide Copolymer, Alpha-isomethyl Ionone, Anise Alcohol, Benzophenone-3, Benzyl Benzoate, Benzyl Salicylate, Butyl Methoxydibenzoylmethane, Butylphenyl Methylpropional, Cinnamal, Cinnamyl Alcohol, Citral, Citronellol, Coumarin, Ethylhexyl Methoxycinnamate, Ethylhexyl Salicylate, Geraniol, Hexyl Cinnamal, Hydrolyzed Jojoba Esters Hydroxycitronellal, Hydroxyisohexyl 3-Cyclohexene Carboxaldehyde, Limonene, Linalool, Propylene Glycol, Tris (Tetramethylhydroxypiperidinol) Citrate, Ext Violet 2 (Ci 60730), Red 33 (Ci 17200).Alcohol Denat., Parfum/Fragrance, Aqua/Water/Eau, Acrylates Octylacrylamide Copolymer, Alpha-isomethyl Ionone, Anise Alcohol, Benzophenone-3,…

See more





Item Form


Spray




Item Weight


0.25 Grams




Item Volume


50 Milliliters",23.5,4.6,31553
291,291,B0009OAIIG,4.8,5.3,love gucci rush disappointed store normally buy stopped selling glad able find amazon among top 3 favorite smell sexy last day one thing say though perfume fallwinter smell not light nonetheless still love also 45 interesting demographic found perfume unexpected way reading excellentthe emperor scent true story perfume obsessionand scientist scent genius book luca turin gave compelling inexplicable description perfume pp 4142rush guccifive starsjust bit lovedhappened two three hour story felt like warm breath whispering crazy thing ear breath back strong loud irresistible sultry wind fit keep everyone awake plotting indiscretionsthe thing smell like person exact thanks milky lactone note smell like infant breath mixed mother hairsprayi find sample first try ebay sold immediatelyi absolutely love gucci rush get compliment wear scent perfume consistently men even husband teen son comment every time wear almost like cannot get enough eitheri warn quite sweetsmelling potent careful not overdo spraying not let packaging name prevent trying luscious scent waste money 16 smelled mature mei got compliment mostly older woman ended giving away friend mom french couturier hubert de givenchy took elegant fashion style made famous bottled givenchys amarige de givenchy perfume choice want feel sexy scent radiates warmth sensuality pure class female capital f rich complex blend light musky note givenchy violet mimosa soft sweet spice orange flower accompanied fruity note fresh citrus melon peach plum sophisticated fragrance not heavyi prefer wear amarige evening something le sexy woodsy floral cologne givenchys eau de toilette work sport perfume standby year although switchedoff occasionally try something new always return amarige personally prefer purchase smaller bottle may feel like scent change becomes stale bottle opened kept long wear lot still take go entire bottle way look almost beautiful perfume smell love scent one chooses highly personal decision perfume cologne try sample purchasejana love perfume glad found amazon reasonable price would suggest love fragrance like buy not trust cosmetic company keep like spray light hot day go hog winter may not keep man fragrance least catch,one favorite fragrance ohhh cannot say enoughmy absolute favorite scent pee yoou amarige radiates warmth sensuality pure class gucci rush sexy beast,5,Gucci Rush By Gucci For Women. Eau De Toilette Spray 2.5 Ounces,Fragrance,"Brand


Gucci




Scent


Floral




Ingredients


Gardenia, Freesia, Jasmine, Vanilla, Patchouli




Item Form


Spray




Item Weight


0.39 Pounds",91.3,4.7,2397
303,303,B001FWXI5G,0.6,1.1,everyone taste perfume review scent exceptionally subjective like perfume like soft sultry musky warm delicately sweet scent dislike floral scent overly sweetdelicious cotton candy smell like cotton candy first note detect warm vanilla musk would say musky like euphoria princess vera wang sweeter however cotton candy scent not sweet pink sugarif prefer cool fruity floral may not like love sexy sweet soft warm smellminus one star not last long get four hour scent gave 2 star packing process box soaked packing air soaked slip statement soaked product smelled like pot not joking way blew face opened smelled little got near box opened like plume stale pot air face still trying descent bottle 4 day not scent perfume whoever packing product never order people take care customer odds figure request refund send back try keep yet go near sensitive nose asthma cannot stand smell know better perfume not really smell bad got much musk literally choke death husband like hate much cannot even wear never purchased perfume life could not wear usually take leave one nasty love musk love hate musk hate tried pink sugar way better still not looking odd smell not care either like hint burnt smell something ok wear favorite fancy jessica simpson know wish someone else made anyone else lol light not sweetcandygirlish scent cotton candy vanilla far favorite perfume along others ill list downside not last long think get ton compliment every time wear especially use victoria secret candy baby body spray underneath scent like v candy baby lucky versace red jean candy yellow orange gap dream halle berry purple pure orchid think not smell flowery little bit fresh fruity smell euphoria ck intimately beckhameuphoria ib least faves whole list list pretty much go order fave least fave though might flip halle gap dream got ib supposed cotton candyvanilla smell smell good got note somewhere reminds horrid old woman perfume cannot shake wear really smell good last long time one note turn enough not buy anymore euphoria given like pretty ok smell better air skin still keepercb ly rj smell kind sweet candyish ly rj smell little like adult woman perfume not old right candy sweetish citrus love gap dream kind grapefruity smell halle berry halle berry better quality smell le teenagery tell like citrus sweetvanilla fruit smell hate musk flowery smell hope help someone heatherheather upchurchart design studio first time bought ross ran bummed found price amazon love perfume even hour wear still lightly smell skin sweet mild smell get complimented time husband love fragrance much relocated due work could not find amazon best price perfume real thing addictive sophisticated playful time high quality fragrance not reapply reminds bvl 2 much better last day bvl not wear men crazy fragrance chocolate vanilla middle note like pink jasmine maybe little ylang ylang base smell sandalwood love dry never lose top middle note clothes bed linen pick scent oil even thought edt like perfume not little girl scent old lady scent like said men love woman ask not tell though bvl 2 nothing cotton candy yes recommend love also love bottle wonderful collection perfume added purchased perfume high hope smell like cotton candy based customer reviewsbut not smell like cotton candy daughter like gave heri like body fantasy cotton candy smell like cotton candy way cheaper thissorry love perfume bought many brand perfume price best smell like candy woman would want smell not child every time wear perfume everyone asks love love prada hard candy love thisi love gale hayman yummy say 10 star love scent every cotton candy pink sugar scent excited see goddess beauty still rolling product gale hayman one original beauty queen beverly hill knew going good never seen item anywhere smell fantastic bottle look tres chic perfume stand like pink sugar love no way leave comment others know leaving know purchase perfumecologne amazon even 34prime34 leak broken etc not return considered hazardousflamable wish known arrived leaking box going toss trash money spent one gourmand lover vanillic creamy yesit reminds cotton candy sure not know perhaps not spraying enough not last long apply applying body lotion body oilso thought would enough foundation keep scent around bit longer stick around 2 hour perfume fanatic may say sillageis weak going stick toits light wisp memory 120 minute passed yucky scent coming cap not perfume throw cap away problem solved said perfume soso sweet mild scent pretty no staying power want something simple light maybe kid job want something complex better staying powder go pink sugar instead love smell cotton candy purchased perfume smell amazing not last long give perfume three star 5 reason product excellent smell sweet beautiful would recommend others purchase like sweet smelling fragrance,sweet musky soft warm poor responsibility execution respect property customer blech much musk one favorite better bvlgari delicious cotton candy not think fell love like favorite sugar scent cooler packaging nonreturnable comparable pink sugar toss cap perfume smell amazing delicious cotton candy cologne gale hayman,2,Delicious Cotton Candy by Gale Hayman 100ml 3.3oz EDT Spray,Fragrance,"Brand


Gale Hayman




Ingredients


Fragrance notes include citruses bergamot cotton candy lilly of the valley fig leaves brown sugar licorice vanilla caramel cedarwood and muskFragrance notes include citruses bergamot cotton candy lilly of the valley fig leaves brown sugar licorice vanilla caramel cedarwood and musk

See more





Item Form


Spray




Item Weight


3.4 Ounces




Item Volume


100 Milliliters",26.09,4.5,1513
311,311,B000C1Z4AI,1.0,1.2,dana make 34favorite34 scent white shoulder chantilly navy scent used wear many year ago heaven scent soft not overwhelming get compliment nice take back babyhood not original helena rubinstein like better sister favorite scent try get often love perfume whole extensive collection expensive come one love fragrance suddle floral scent leaf really smell great recommend heaven sent seller still amazed left lovely scent year ago find u cannot scent made pay hugh sum get 34joy34 exotic name straight forward cologne available please many pleased one thrilled find not able find local store year really missed sometimes find musk not like heaven sent perfume ever really liked soft yet need little bit last day love decorative bottle 10 star heaven sent predominately citrus rose scent buttressed patchouli oakmoss not virginal fragrance little girl guess lucky not know original heaven sent smell like version 2001 gorgeous megranted heaven sent edp light closewearing however instep today rose trend yet patchy mossy classic taste stronger formula think fumies would gaga one strike would edgy enough come jhag classic enough come gres however weak formula still wonderful bedtime scent possibly one wear working close quarter othersim loving wear restful dreamy nighttime smelling lovely not suffocating partnerps original not dana not supposed smell like itpss heaven sent cheap substitute modern lheure bleue,dana reminds mother lovely heaven scent heaven sent dana not supposed smell like original,5,Heaven Sent Perfume by Dana for Women 100 ml,Fragrance,"Brand


Dana




Scent


HEAVEN SENT, Dana




Ingredients


ALCOHOL DENAT., WATER/EAU/AGUA, FRAGRANCE/PARFUM/FRAGRANCIA, LIMONENE, COUMARIN, ALPHA-ISOMETHYL IONONE, HYDROXYCITRONELLAL, BENZYL BENZOATE, LINALOOL, GERANIOL, CITRONELLOL, ISOEUGENOL, CITRAL, AMYL CINNAMAL, EVERNIA FURFURACEA (TREEMOSS) EXTRACT, EUGENOL, BENZYL SALICYLATE, FD&C RED NO. 4 (CI 14700), FD&C YELLOW NO. 5 (CI 19140).ALCOHOL DENAT., WATER/EAU/AGUA, FRAGRANCE/PARFUM/FRAGRANCIA, LIMONENE, COUMARIN, ALPHA-ISOMETHYL IONONE, HYDROXY…

See more





Item Form


Spray




Item Weight


3.4 Ounces",24.95,4.4,886
331,331,B000C1Z4YY,0.3,0.4,every time mother us fragrance get compliment mother 75 year young hard finding fragrance not overpowering ellen tracy mother signature fragrance wear every day find online stock scent light floral scent smell different person would say older woman give try purchased gift mother love scent not blame beautiful feminine without heavy cloyingwe found scent accident every 5 year search new signature fragrance like usei found mine discovered try loved particular fragrance not like anything heavy sweet muskythis light feminine layer body gel body lotion make statement not kind cause wrinkle nose wonder left roomi love scent mother ever find something like better think ill snag bottle two alternative perfume lovely fragrance omg best good price scent sexy every time wear people always ask must price deal breaker hoping would lighter scent bit strong wear til finish bottle probably not buy loved 34shimmer34 ellen tracy found discontinued bad decisionit perfect scent around cannot find another come close disappointing cannot get enough perfume every time go choose different scent wear day end grabbing bottle gorgeous enjoying fragrance day long last come back softly alluringly throughout activity love scent first tried sample buy large bottle surely one top favorite ever think smell great really want smell good husband smell soooooo great thank god husband told haha delivery good however like many reviewer product not think real deal many bottle ellen tracy perfume variety source tester new bottle not fragrance last 5 second ellen tracy scent supurb nice woodsy sweet smell recommend muture age group young not perfer older mature scent may used casual scent ocasion nice soft sweet smell love soft sophisticated delightful musky woman fragrance combine oriental floral tone spice subtle woodsy undertone not overbearing tantalizing scent last night et open clean clear bright fruityfloral tad powdery almost soaplike quite sweet white florals get amplified skin move heart not wearable warm weather dry et seems show gourmand character much like omnia classified oriental woodies though gourmandlike drydown favorite aspect fume make special unique imoeverything tried ellen tracy fragrance line officeappropriate et no exception looking office fragrance could worse one like lot not enough,mother signature fragrance lovely scent hard find not need get strong taste classy intoxicating love smell delivery good however nice scent tantalizing scent keeping ellen tracy aesthetic officeappropriate pleasant,3,Ellen Tracy By Ellen Tracy For Women. Eau De Parfum Spray 3.4 Ounces,Fragrance,"Brand


ELLEN TRACY




Scent


ELLEN TRACY, Ellen Tracy




Ingredients


Notes: Cinnamon, Peach, Rose, Jasmine, Freesia, Carnation, Cedar, Sandalwood, Tonka Bean




Item Form


Spray




Item Weight


0.65 Pounds",17.17,4.5,1032
359,359,B000XE906S,0.0,0.0,nice enough much like mainstream scent not scent choice smell good enough not perfume not say nothing thought fine really glad got miniature model not strong enough kind smell like glorified soap like something get nice clean sent not overpowering nice spring summertime fresh smell last day pleased item great smell think buy bigger bottle plenty us price,ok three star good enough lovely scent fresh scent,3,Bright Crystal By Gianni Versace For Women. Miniature Eau De Toilette 5 Ml.,Fragrance,"Brand


Versace




Item Form


Spray




Item Weight


0.01 Pounds




Item Volume


5 Milliliters",9.18,4.3,235
367,367,B0009OAHIW,4.0,4.8,scent different typical perfume scent someone mentioned smelled like insect repellent not true opinion huge fragrance collection one wear one spray go long way people make mistake not overwhelm like 5 spray might not smell great used spray like 4 time last year boyfriend not like one spray neck chest area great boyfriend love cannot stop smelling joke say let guess one spray lol great worked perfume boutique able take tester home every one like bottom line glad not spend money strong not taste prefer lighter fragrance discrete not kind suffocate everyone room basically one like said nice smell wearing hour one spray nose start burn fragrance fruity top note floral middle note jasmine white rose musky bottom note drydown nice summer time perfume use dkny delicious bit fruity stronger davidoff cool water spicy sporty oxygene lanvin slight chemical note shi alfred sung floral soapy light blue nicely balanced fruity floral musky musk anchor perfume would light noticeable perfume perk day little light night time use night time summer use michael michael kor chanel allure jadorethe 34 oz version available slightly lower price discount club christmas think price still bit higher side 17 oz smell crisp clean favorite perfume signature sent smell crisp clean someone greets say 34you smell delicious34 know wearing perfect perfume love smell light blue light fresh right touch fruitfloral smell good people cannot help tell love dolce gabbana light blue toilette last bottle purchased department store loved one best eau de toilette market not purchase something wrong cannot return besides order 17 fl oz sent 16 fl oz charged 5900 even would not mind scent last minute not like bottle purchased two year ago lasted 6 8 hour even could still smell people complaining amazon absolutely nothing ordered boucheron eau de toilette thing learned lesson read reviewd different fluid oz see mean not read review one purchasing 1 review tell lot toilette 4 star toilette 1 star great smell great buy anyone lady mine love smell added lineup received many compliment ill ordering soon almost perfume every day use love fresh smell price good enjoy purchase first not knocking seller review concern perfume high hope concerning scent read many rave review received sample scent mail shocked much disliked fragrance smell similar anais anais bought much le expensive price never cared anais anais perfume overbearingly spicy really like soft fresh sweet scent light blue nothing liked suggest buying sample size first perfume make sure like scent smell great one person not smell great another person reading review thought id love scent honest hated bought gift mother birthday love scent love well price not beat bottle size typically go like 80 department store got package quickly original packaging sealed plastic wrapping needle say loved thought spent way actually smell soooooo fresh clean light unique smell floral citrusy really like honest smell better put 1015 minute hunt without doubt hand time favorite fragrance literally give burst sheer joy spray light summery crisp clean reminds top windswept italian villabreathing fresh air versatile love wear night town spray morning hang kid go shopping even walk dog perfume cologne lotion gelits lemonysoft light cannot recommend enough six star usually prefer intense fragrance g light blue not half bad one lighter breezier fragrance muskier undertone give extra boost sadly staying power not great not purchase fullsize bottle 3rd bottle fragrance represents everything freshness lightness sexines seductivness one best creation dg love perfume recomend love first smell think luscious blend fruity floral spicy scent made day high note grapefruit citron granny smith applemiddle note nutmug bluebell rose bamboo cedarlow note amber muskhintstipssuggestscommentsect 1three simple word smell buy always good test perfume commit not want stuck fragrance not like you2the scent strength way like moderate not intense not subtle3 fragrance created least opinion casualdaily use 4 sophisticated scent not sure teen would like usually like floral scent different scent choose picked sister favorite loved used whole bottle le month sprayed body hair clothes etc several time day overdoer product hate put perfume everyone else smell reapply love love would buy wearing dolce gabbana 2 year fragrance wonderfull not much strong fragrance overpowering one dolce gabbana perfect fragrance last day without fading use gabbana lotion perfect pair,boyfriend love thisonly one spray good strong nice work daily wear barely noticeable hour smell crisp clean 34you smell delicious34 gone no smell 5 minute sad true light blue smell fresh pleasent smell like anais anais smell delicious love call dog okay scent perfection perfumery four star dolce gabbana light blue every woman would like scent seems like heavenly,4,"Dolce & Gabbana Light Blue for Women Eau de Toilette Spray, 1.6 Ounce",Fragrance,"Brand


Dolce & Gabbana




Scent


Floral




Item Form


Spray




Item Weight


0.11 Pounds




Item Volume


50 Milliliters",59.75,4.7,4113
389,389,B000P22UUG,0.3,0.5,fragrance gorgeous smell great everyone bought also friend everyone raf especially nice daytime not want wear something super strong light airy aroma sweet freshness feminine perfect springsummer time one favorite bvlgari perfume bought amazon compared one bought nordstroms noooo difference not smell rancid like perfume buy discount store happy tried not paying almost double elsewhere love scent last long thank amazon many lady collection different fragrance one one favorite light sophisticated not irritating mother birthday bought chanel 5 sephora people seem obsessed brand got thinking would awesome not suck not last however great spray smell day mom leaf work 8am get home 7pm still smell def recommend like perfume great business would not wear scent going night kind reminds nordstrom found wore rather quickly well received nice atomizer sample june birchbox nice feminine smell deep airy not disturbing fresh scent sweetness not floral last long one best bulgari favorite perfum time price awesome came quick nicely packed love love smell nice great gift people love bvlgari buy gift cousin happy perfume smell amazing not like heavy perfume get compliment one time not flowery fruity light fresh smelling scentmy favorite scent include dg light blue fresh brown sugar tocca bianca dg rose one bbw sweet pea burberry brit fan scent probably like omnia crystalline scent omnia crystalline refreshing hint summer luxury delicate note love bvlgari fragrance general one no different definitely belongs collection someone looking get noticed without offending anyonestrongly recommended ditto lot people said second time buying perfume online tried smell person new going like amazon really offering great deal purchased bulgari omnia crystalline edt mall paid 59 amazon offering 29 beautiful light fragrance ending floral note like sweet walk flower garden springtime everything blooming like lot personally not crazy floral scent one may summer fragrance scent great staying power ran sung shi replaced omnia crystalline choice pretty easy enjoy omnia original appreciate alberto morillas deal good pas 20 buck 22ozcrystalline shi similar clear clean watery soft florals stay close skin however crystalline done much better shi opinionlast summer went bottle crystalline le 2 month continually applied really loved note development appreciated time wore edt want need something projection quality neither shi crystalline hascrystalline not goto everyday fragrance fact think whole class aquatic fragrance not crystalline among best class,delicate sweet clean great love nice nice not sexy young reminds nordstrom love favorite perfum time great light happy perfect summer perfect perfume light floral scent disappears,5,"Bvlgari Omnia Crystalline for Women Eau De Toilette Spray, 2.2 fl oz",Fragrance,"Brand


BVLGARI




Scent


Floral




Ingredients


Alcohol Denat, Parfum/Fragrance, Aqua/Water, Limonene, Coumarin, Linalool, Citrinellol, Geraniol, Eugenol, Citral, CinnamylAlcohol Denat, Parfum/Fragrance, Aqua/Water, Limonene, Coumarin, Linalool, Citrinellol, Geraniol, Eugenol, Citral, Cinnamyl

See more





Item Form


Spray




Item Weight


0.23 Kilograms",58.58,4.7,3993
